StockName,StockTicker
Aditya Brila Capital,ABCAPITAL:NS
Amara raja energy mob ltd,ARE&M :NS
Biocon,BIOCON :NS
Baja Auto ,BAJAJ-AUTO :NS
Cipla ,CIPLA :NS
City Union Bank,CUB :NS
Cosmo First,COSMOFIRST:NS
Cupid,CUPID:NS
Divis Lab,DIVISLAB :NS
Dr Reddy's Labs,DRREDDY:NS
Eicher Motors,EICHERMOT :NS
Equitas Small Finance bank,EQUITASBNK:NS
Exide Industries,EXIDEIND :NS
Finolex Cables ,FINCABLES:NS
Federal Bank ,FEDERALBNK :NS
Glenmark Pharma,GLENMARK:NS
Hcl Technologies,HCLTECH :NS
HDFC Bank,HDFCBANK :NS
HDFC Life Insurance,HDFCLIFE :NS
Hero MotoCorp,HEROMOTOCO :NS
IRFC,IRFC :NS
Indian Hotels Co,INDHOTEL :NS
Icici bank,ICICIBANK :NS
Icici  Lombard,ICICIGI :NS
IDFC First Bank ,IDFCFIRSTB :NS
Infosys,INFY:NS
ITC,ITC :NS
Induslnd bank,INDUSINDBK:NS
Jyothy Labs,JYOTHYLAB:NS
Kalyan jewellers,KALYANKJIL:NS
Karnataka Bank,KTKBANK:NS
KPR Mills,KPRMILL:NS
Kaveri Seeds,KSCL:NS
KVB,KARURVYSYA :NS
Kesoram Industries,KESORAMIND:NS
Larsen & Toubro,LT:NS
M & M,M&M :NS
MHRIL Holiday,MHRIL:NS
Manappuram Fin,MANAPPURAM :NS
Muthoot Finance,MUTHOOTFIN :NS
Natco Pharma,NATCOPHARM:NS
Nippon Nifty IT,ITBEES:NS
Nippon India Nifty Pharma,PHARMABEES:NS
Goldbees,GOLDBEES :NS
Petronet LNG ,PETRONET :NS
PGINVIT,PGINVIT:NS
South Indian Bank,SOUTHBANK:NS
Supreme Industries ,SUPREMEIND:NS
SBI Cards,SBICARD :NS
Stovekraft ,STOVEKRAFT :NS
Sun Pharma Industries,SUNPHARMA:NS
TMB,TMB:NS
TVS motor,TVSMOTOR:NS
Tata Chemicals ,TATACHEM :NS
Tata Consumer ,TATACONSUM:NS
Tata Investment Corpn,TATAINVEST :NS
Tata Motor ,TATAMOTORS:NS
Tata power,TATAPOWER:NS
Tata Steel,TATASTEEL:NS
TCS,TCS :NS
Tech Mahindra,TECHM :NS
Thangamayil Jew,THANGAMAYL:NS
Titan Company ,TITAN :NS
TTK Prestige ,TTKPRESTIG:NS
Wipro ,WIPRO:NS
Zydus Lifescience,ZYDUSLIFE:NS
